,ら戳,Θユ计,Θユ掸计,Θユ肂,㏄秨絃基,㏄程蔼基,㏄程基,㏄Μ絃基,㏄5らА絬,㏄10らА絬,㏄20らА絬,㏄RSV,㏄K,㏄D,㏄MACD,㏄signal,㏄MACD-OSC,㏄瓂,㏄い禸,㏄瓂,把σ夹,把σ夹,把σ夹,把σ夹
200,20180824,2060424,1462,115867918,58,58,55,55.4,57.02,59.25,61.69,4.82,10.94,15.51,-219.57,-153.99,-65.58,68.04,61.69,55.34,196.231,1864.193,1.77538,68.17
201,20180831,2129078,1295,122633475,55.4,58.7,55.1,58.6,57.24,58.85,61.31,43.37,21.75,17.59,-208.79,-164.95,-43.84,67.46,61.31,55.17,1916.17,212.908,0.92143,0
202,20180907,1384498,720,80602943,58.9,58.9,57,57.1,57.26,58.31,60.88,26.25,23.25,19.48,-209.93,-173.95,-35.99,66.93,60.88,54.83,60.196,1324.302,1.68476,55.94
203,20180914,1412775,978,80901900,57.9,58.1,56.3,58,57.26,57.94,60.54,37.5,28,22.32,-201.25,-179.41,-21.85,66.43,60.54,54.65,854.236,558.539,1.30828,28.35
204,20180921,1421563,946,82658247,58.2,58.7,57.7,58.5,57.52,57.54,60.24,89.74,48.58,31.07,-188.17,-181.16,-7.01,65.9,60.24,54.58,897.829,523.734,0.70257,0
205,20180928,1524288,964,88369378,58.3,58.6,56.9,57.3,57.9,57.46,59.95,58.97,52.04,38.06,-185.35,-182,-3.35,65.6,59.95,54.31,410.385,1113.903,1.58391,55.66
206,20181005,1363187,974,77947377,58,58,55.8,57,57.58,57.41,59.68,51.28,51.79,42.64,-183.42,-182.29,-1.14,65.34,59.68,54.02,398.982,964.205,1.23383,33.55
207,20181012,2002855,1265,108662517,56.9,57,52.8,57,57.56,57.41,59.38,68.85,57.48,47.59,-179.82,-181.79,1.97,64.94,59.38,53.82,1025.271,977.584,1.30996,38.36
208,20181019,2297485,1516,126632831,56.3,57,53.6,53.6,56.68,56.97,58.85,13.11,42.69,45.96,-202.07,-185.85,-16.23,64.49,58.85,53.21,335.05,1962.435,2.31283,100
209,20181024,1456276,958,75905967,53.1,53.8,50.9,51.3,55.24,56.38,58.19,5,30.13,40.68,-235.55,-195.79,-39.76,64.11,58.19,52.27,355.979,1100.297,2.36589,100
210,20181109,2272786.5,984,79857765,64.3,66.1,61.8,65.8,56.94,57.42,58.33,98.03,52.76,44.71,-143.43,-185.32,41.89,64.83,58.33,51.84,1956.179,316.607,1.18637,29.09
211,20181116,1277424,1046,83857708,64.8,67.7,63.7,67.2,58.98,58.28,58.56,97.02,67.51,52.31,-58.45,-159.94,101.5,65.91,58.56,51.22,967.745,309.679,1.02049,19.11
212,20181123,835356,695,56194175,67.2,68,66.6,67.4,61.06,59.31,58.81,96.49,77.17,60.6,10.39,-125.88,136.27,66.95,58.81,50.67,449.807,385.549,0.5663,0
213,20181130,894944,810,60619204,67.5,68.6,66.9,68.4,64.02,60.35,59.15,98.87,84.4,68.53,72.19,-86.26,158.45,68.23,59.14,50.06,619.577,275.367,0.32234,0
214,20181207,892424,737,60419119,68.5,68.9,66,66.1,66.98,61.11,59.33,84.44,84.41,73.82,101.43,-48.72,150.16,68.8,59.32,49.85,127.489,764.935,0.80177,23.46
215,20181214,810282,787,53866958,68.9,68.9,65.9,66.5,67.12,62.03,59.74,86.67,85.16,77.6,126.38,-13.7,140.08,69.7,59.74,49.79,419.61,390.672,1.12375,39.22
216,20181222,815584,660,53978895,66.5,66.6,65.8,66.3,66.94,62.96,60.18,85.56,85.29,80.16,142.89,17.61,125.27,70.48,60.18,49.89,349.536,466.048,1.25116,45.45
217,20181228,869000,527,56724200,66.6,66.6,64.1,64.1,66.28,63.67,60.54,73.33,81.3,80.54,136.64,41.42,95.22,70.86,60.54,50.22,0,869,2.77778,100
218,20190104,489239,399,31777935,65.4,65.4,64.4,65,65.6,64.81,60.89,45.07,69.22,76.77,137.38,60.61,76.76,71.32,60.89,50.46,304.122,185.117,1.78039,59.38
219,20190111,904718,794,60004036,65,67.3,65,67.2,65.82,66.4,61.39,67.31,68.58,74.04,153.93,79.28,74.66,72.02,61.39,50.76,867.021,37.697,1.02445,28.59
220,20190118,815999,637,54771902,67.7,67.8,66.3,67,65.92,66.52,61.97,60.42,65.86,71.31,163.55,96.13,67.42,72.49,61.97,51.45,233.143,582.856,1.19254,35.44
221,20190125,1026681,840,69617641,67.8,68.2,67.3,67.8,66.22,66.58,62.43,77.08,69.6,70.74,175.61,112.03,63.58,73.13,62.43,51.73,671.291,355.39,0.55939,9.65
222,20190130,1215388,863,83268182,68.2,69.8,67.5,69.8,67.36,66.82,63.06,100,79.73,73.74,199.01,129.42,69.59,73.93,63.06,52.2,965.161,250.227,0.44806,5.12
223,20190215,1538250,1317,109512063,71.8,72.6,70,72.1,68.78,67.19,63.77,94.12,84.53,77.34,233.42,150.22,83.2,75.05,63.77,52.49,1025.5,512.75,0.58762,10.8
224,20190222,2231758,1764,165886859,72.1,76.3,72.1,76,70.54,68.18,64.64,97.54,88.87,81.18,288.84,177.95,110.89,76.83,64.64,52.46,2082.974,148.784,0.26705,0
225,20190227,2082172,1856,159573209,76.3,77.9,75.3,75.9,72.32,69.12,65.58,85.51,87.75,83.37,328.16,207.99,120.17,78.21,65.57,52.94,898.192,1183.98,0.42152,6.15
226,20190308,2697450,1962,209426584,76.9,79.4,76.1,78.3,74.42,70.32,66.64,92.67,89.39,85.38,374.38,241.27,133.11,79.78,66.64,53.5,1870.812,826.638,0.45464,7.47
227,20190315,3653041,2622,293796539,78.9,82.4,78.1,81.6,76.78,72.07,67.87,95.4,91.39,87.38,432.64,279.54,153.1,81.76,67.87,53.98,2753.831,899.21,0.40214,5.38
228,20190322,4037600,3087,331179498,82.5,83.7,80.4,82.3,78.82,73.8,69.3,91.95,91.58,88.78,478.95,319.42,159.52,82.92,69.3,55.69,2202.327,1835.273,0.61424,13.83
229,20190329,2266676,2045,187514346,82,83.4,81.5,83.3,80.28,75.41,70.9,97.56,93.57,90.38,517.75,359.09,158.66,83.14,70.9,58.67,1780.96,485.716,0.47013,13.42
230,20190403,1674000,1167,140691700,83.8,84.8,83.4,84.5,82,77.16,71.84,98.27,95.14,91.97,551.82,397.63,154.18,85.18,71.84,58.5,1223.308,450.692,0.46114,20.97
231,20190412,2693157,2051,231319951,85,87.4,84.8,86.9,83.72,79.07,72.82,97.13,95.8,93.25,591.36,436.38,154.99,87.49,72.82,58.16,2197.049,496.108,0.44138,18.84
232,20190419,2319306,1964,203081036,87.1,88.2,87.1,87.6,84.92,80.85,73.83,96.27,95.96,94.15,621.2,473.34,147.85,89.61,73.83,58.06,1586.894,732.412,0.31892,14.94
233,20190426,1771915,1388,154549990,87.9,88,85.7,87.7,86,82.41,74.8,96.12,96.01,94.77,638.29,506.33,131.95,91.46,74.8,58.14,903.329,868.586,0.43106,47.24
234,20190503,1080701,917,94224648,87.8,87.8,86.7,87.4,86.82,83.55,75.86,93.39,95.14,94.89,642.01,533.47,108.54,92.88,75.86,58.85,398.153,682.548,0.54659,80.51
235,20190510,3614238,2895,299115275,86.8,86.8,79.6,82,86.32,84.16,76.64,38.61,76.3,88.69,594.53,545.68,48.85,93.29,76.64,59.99,850.409,2763.829,1.35,100
236,20190517,1743766,1571,140552814,81.6,81.9,78.3,80.2,84.98,84.35,77.34,19.19,57.26,78.21,536.2,543.78,-7.58,93.35,77.33,61.32,618.756,1125.01,1.96343,100
237,20190524,1243538,1095,98782354,80.2,80.4,78.5,80,83.46,84.19,78.13,17.17,43.9,66.77,482.79,531.59,-48.79,92.97,78.13,63.29,587.226,656.312,2.1298,100
238,20190531,1027929,865,82143495,80,81,79,81,82.12,84.06,78.93,27.27,38.36,57.3,443.43,513.95,-70.53,92.53,78.93,65.33,685.286,342.643,1.78278,80.84
239,20190606,783438,679,62674363,81,81.1,79.5,80,80.64,83.73,79.57,17.17,31.3,48.63,399.55,491.07,-91.52,92.06,79.57,67.08,213.665,569.773,1.27973,53.06
240,20190614,1212324,1040,97698820,80,81.9,79.2,81,80.44,83.38,80.27,27.27,29.96,42.41,368.6,466.58,-97.98,91.35,80.27,69.19,743.926,468.398,0.91347,32.83
241,20190621,1279220,1125,104991486,81.1,83.9,80.5,83.5,81.1,83.04,81.05,53.61,37.84,40.89,360.1,445.28,-85.19,90.61,81.05,71.5,994.949,284.271,0.63123,17.25
242,20190628,1285708,1002,107586784,83.9,84.3,82.7,84,81.9,82.68,81.77,60,45.23,42.34,353.32,426.89,-73.57,89.87,81.76,73.66,734.69,551.018,0.69717,20.89
243,20190705,2712151,1803,229171574,85,85.1,84,84.9,82.68,82.4,82.41,77.65,56.04,46.91,351.16,411.74,-60.59,89.29,82.4,75.52,1725.914,986.237,0.54529,12.5
244,20190712,2550450,1952,200618581,78.8,79.4,78.2,78.2,82.32,81.48,82.52,0,37.36,43.73,292.02,387.8,-95.78,89.04,82.51,75.99,193.705,2356.745,1.14496,42.03
245,20190719,910745,811,70893015,78.3,78.4,77.5,77.9,81.7,81.07,82.62,5.26,26.66,38.04,239.96,358.23,-118.27,88.79,82.61,76.44,303.582,607.163,1.52175,61.63
246,20190726,787859,643,61545659,78.2,78.5,77.8,78.2,80.64,80.87,82.61,9.21,20.84,32.31,198.83,326.35,-127.52,88.8,82.61,76.42,463.446,324.413,1.59104,66
247,20190802,1012947,880,78984887,78.3,78.3,77.4,77.7,79.38,80.64,82.42,3.9,15.19,26.6,160.36,293.15,-132.79,88.95,82.42,75.88,233.757,779.19,3.40523,100
248,20190808,914313,834,69751325,77.7,77.7,74.6,76.5,77.7,80.19,82.13,18.1,16.16,23.12,118.81,258.28,-139.47,89.15,82.12,75.1,347.439,566.874,1.68936,40
249,20190816,1045059,887,82074091,78.9,79.4,78,78.2,77.7,80.01,81.87,34.29,22.2,22.81,98.47,226.32,-127.85,89.08,81.87,74.66,673.089,371.97,1.18904,22.51
250,20190823,820479,668,64344259,79,79,78.1,78.4,77.8,79.75,81.57,36.19,26.86,24.16,83.01,197.66,-114.65,88.82,81.56,74.31,435.879,384.6,1.24404,24.43
251,20190830,837608,730,65406710,78,78.9,77.6,78.3,77.82,79.23,81.14,35.24,29.65,25.99,69.15,171.96,-102.81,88.08,81.13,74.19,406.113,431.495,0.94224,13.88
252,20190906,954065,764,74883813,78.9,79.2,77.8,77.8,77.84,78.61,80.65,66.67,41.99,31.32,53.51,148.27,-94.76,87.06,80.64,74.23,124.443,829.622,1.23065,23.96
253,20190912,1057168,862,81843734,77.8,77.9,76.9,77.9,78.12,77.91,80.16,68.75,50.91,37.85,41.45,126.9,-85.45,85.79,80.16,74.52,556.404,500.764,1.40953,30.22
254,20190920,1323536,1158,101999736,77.8,77.8,76.7,77.2,77.92,77.81,79.65,54.17,52,42.57,25.94,106.71,-80.77,84.34,79.64,74.95,389.275,934.261,1.82636,44.79
255,20190927,1102896,972,85055229,77.3,77.7,76.6,76.8,77.6,77.7,79.39,45.83,49.94,45.03,10.31,87.43,-77.12,84.1,79.38,74.67,367.632,735.264,2.08653,46.46
256,20191004,811888,709,61956497,77.5,77.5,75.7,76.7,77.28,77.55,79.21,43.75,47.88,45.98,-2.86,69.37,-72.23,84.05,79.21,74.37,231.968,579.92,1.77975,34
257,20191009,442899,402,34111796,77.4,77.4,76.5,77.1,77.14,77.49,79.07,37.84,44.53,45.5,-9.95,53.51,-63.46,83.97,79.06,74.16,253.085,189.814,1.96404,41.49
258,20191018,1642052,1223,128379196,77.4,80.5,76.8,80.5,77.66,77.89,79.04,100,63.02,51.34,11.73,45.15,-33.42,83.91,79.04,74.17,1427.871,214.181,0.75384,0
259,20191025,1092514,879,86371343,80,80,78.5,78.9,78,77.96,78.99,66.67,64.24,55.64,15.82,39.29,-23.47,83.84,78.98,74.13,182.086,910.428,0.90422,11.28
260,20191101,846290,658,66247454,78.9,79.1,77.8,78.5,78.34,77.97,78.86,58.33,62.27,57.85,15.65,34.56,-18.91,83.63,78.86,74.09,346.21,500.08,0.82132,5.06
261,20191108,2859997,1929,226856670,79.1,80.1,78,79.6,78.92,78.1,78.66,81.25,68.6,61.43,24.12,32.47,-8.35,82.95,78.66,74.38,1795.812,1064.185,0.71665,0
262,20191115,4315756,2927,346426342,80.2,81.5,79.2,81.2,79.74,78.44,78.52,94.83,77.34,66.73,43.24,34.62,8.61,82.25,78.52,74.8,2979.927,1335.829,0.71842,0.13
263,20191122,5409813,4161,453369017,81.4,86.1,81.4,84.8,80.6,79.13,78.52,87.5,80.73,71.4,86.44,44.99,41.46,82.22,78.52,74.82,4275.497,1134.316,0.42931,0
264,20191129,4675488,3526,406394803,85.3,88.8,84.1,87.3,82.28,80.14,78.97,88.55,83.34,75.38,139.25,63.84,75.41,84.29,78.97,73.66,3077.536,1597.952,0.42315,0
265,20191206,2337092,1825,203415130,87.2,88.4,85.2,88,84.18,81.26,79.48,93.5,86.73,79.16,184.62,88,96.63,86.06,79.48,72.9,1353.053,984.039,0.43232,0.55
266,20191213,2318981,1833,205494562,88.1,89.8,87.7,88,85.86,82.39,79.97,86.15,86.54,81.62,218.07,114.01,104.06,87.49,79.97,72.45,1159.49,1159.49,0.49422,4.27
267,20191220,3904563,2949,350458660,88.4,91.4,87.7,91.2,87.86,83.8,80.65,98.53,90.54,84.59,267.31,144.67,122.64,89.53,80.64,71.76,3201.742,702.821,0.5055,5.34
268,20191227,1926704,1492,173687707,91.5,91.6,88.8,90.4,88.98,84.79,81.34,91.3,90.79,86.66,296.47,175.03,121.43,90.96,81.34,71.72,682.374,1244.33,0.6395,14.04
269,20200103,3083669,2198,281056674,90.4,92.4,89.6,91,89.72,86,81.98,90.28,90.62,87.98,320.71,204.17,116.55,92.35,81.98,71.61,1726.855,1356.814,0.65925,49.08
270,20200110,2669499,2121,240117253,90.3,91.1,88.5,90.9,90.3,87.24,82.61,88.64,89.96,88.64,335.26,230.39,104.87,93.53,82.6,71.68,1314.215,1355.284,0.6728,51.89
271,20200117,2999825,2310,276700110,91,93.2,90.9,93.1,91.32,88.59,83.34,99.15,93.02,90.1,360.39,256.39,104,94.99,83.34,71.7,2769.069,230.756,0.64493,55.7
272,20200120,534816,398,49673571,93.5,93.5,92.5,93,91.68,89.77,84.11,94.68,93.57,91.26,375.17,280.14,95.02,96.18,84.1,72.03,140.741,394.075,0.56075,46.6
273,20200131,2712505,2060,236239524,87,88.8,85.2,88.8,91.36,90.17,84.65,43.37,76.84,86.45,348.97,293.91,55.06,96.53,84.65,72.77,976.502,1736.003,0.71457,98.7
274,20200207,2497098,2050,217747158,84,88.8,84,86.3,90.42,90.07,85.1,24.21,59.3,77.4,304.52,296.03,8.49,96.5,85.1,73.71,1061.64,1435.458,0.76725,100
275,20200214,2257575,1903,194895312,84.6,88.4,84.2,88.4,89.92,90.11,85.69,46.32,54.97,69.92,282.98,293.42,-10.44,96.49,85.68,74.88,2114.237,143.338,0.86391,100
276,20200221,2098986,1523,184721344,87.9,88.9,86.9,88.5,89,90.16,86.28,47.37,52.44,64.09,263.68,287.47,-23.8,96.32,86.27,76.23,1345.504,753.482,0.73997,71.28
277,20200227,1698337,1454,146442914,87.7,87.8,84.8,85.4,87.48,89.58,86.69,14.74,39.87,56.02,220.82,274.14,-53.32,95.83,86.69,77.55,264.186,1434.151,0.78704,79.21
278,20200306,2298850,2013,198675408,84.8,88,84.5,86.6,87.04,89.2,86.99,27.37,35.7,49.25,194.29,258.17,-63.88,95.68,86.99,78.31,1625.049,673.801,0.56175,15.69
279,20200313,4423489,3400,346742009,86.4,86.4,70,72.8,84.34,87.38,86.69,11.91,27.77,42.09,61.22,218.78,-157.56,96.81,86.69,76.57,638.442,3785.047,1.71603,100
280,20200320,4370555,3627,290385244,71.6,72,60.5,64.8,79.62,84.77,86,13.03,22.86,35.68,-107.56,153.51,-261.08,99.53,86,72.48,1180.552,3190.003,2.44942,100
281,20200327,3474493,2671,225822493,63,67.4,61.7,64.8,74.88,81.94,85.27,15.14,20.29,30.55,-238.57,75.09,-313.67,101.46,85.26,69.07,2285.851,1188.642,1.54235,51.97
282,20200401,1293867,1139,83254788,64.2,64.9,63.1,64.9,70.78,79.13,84.45,15.49,18.69,26.6,-337.7,-7.46,-330.23,102.87,84.45,66.03,887.223,406.644,1.71679,61.21
283,20200410,5117237,4003,362394555,65.3,75.2,64.8,74,68.26,77.65,83.91,47.54,28.31,27.17,-338.92,-73.76,-265.16,102.88,83.91,64.94,4421.293,695.944,0.62465,3.38
284,20200417,4728284,3813,353818975,74,77.9,72.5,75.3,68.76,76.55,83.31,52.11,36.24,30.19,-325.65,-124.13,-201.51,102.57,83.31,64.05,2687.656,2040.628,0.4213,0
285,20200424,3865670,2729,293457390,75.6,77.5,74,76.5,71.1,75.36,82.73,58.18,43.55,34.64,-301.96,-159.7,-142.26,102.09,82.73,63.38,2295.242,1570.428,0.45802,1.81
286,20200430,2213960,1721,172282929,77.7,79.2,76.7,78.4,73.82,74.35,82.25,65.09,50.73,40,-264.81,-180.72,-84.09,101.54,82.25,62.97,1489.391,724.569,0.46188,2
287,20200508,3670755,2497,291922323,77.2,82.7,76.5,81.3,77.1,73.94,81.76,80.31,60.59,46.86,-209.54,-186.49,-23.06,100.61,81.76,62.91,2859.325,811.43,0.55157,6.42
288,20200515,4437088,3108,367074982,81.6,84.3,80.3,81,78.5,73.38,81.29,86.13,69.1,54.27,-166.25,-182.44,16.18,99.71,81.29,62.87,1959.234,2477.854,0.64909,11.23
289,20200522,1941386,1337,157832638,81,82.6,79.7,81.1,79.66,74.21,80.79,85.84,74.68,61.07,-129.64,-171.88,42.24,98.67,80.79,62.92,987.723,953.663,0.68089,12.8
290,20200529,1974882,1364,160722457,82.3,82.7,80.3,81,80.56,75.83,80.3,84.43,77.93,66.69,-100.28,-157.56,57.28,97.57,80.3,63.03,462.206,1512.676,0.91818,24.5
291,20200605,2039945,1494,168300186,81.3,83.4,81.3,83,81.48,77.65,79.79,93.33,83.06,72.15,-60.18,-138.08,77.9,96.1,79.79,63.49,1748.524,291.421,1.01511,29.28
292,20200612,2355645,1704,192885417,83.3,83.3,78.8,80.6,81.34,79.22,79.17,68.64,78.25,74.18,-47.22,-119.91,72.69,94.33,79.17,64.02,642.449,1713.196,1.16404,57.33
293,20200619,1925659,1485,155485329,80.7,82,79.5,80.1,81.16,79.83,78.74,59.22,71.91,73.42,-40.52,-104.03,63.51,93.25,78.74,64.23,813.056,1112.603,1.26285,64.96
294,20200624,803670,666,65316782,81,81.8,80.7,81.3,81.2,80.43,78.49,61.54,68.45,71.76,-25.23,-88.27,63.04,92.64,78.49,64.34,574.05,229.62,0.88586,55.2
295,20200703,2305414,1745,188134873,80.7,83.6,80.1,83.4,81.68,81.12,78.24,88.46,75.12,72.88,3.78,-69.86,73.65,91.84,78.24,64.64,1929.02,376.394,0.86693,52.95
296,20200710,3493608,2440,291700870,84.5,85.1,82.2,82.7,81.62,81.55,77.95,61.9,70.71,72.16,20.89,-51.71,72.6,90.9,77.95,65,753.523,2740.085,1.0956,79.22
297,20200717,4837492,2768,390428225,83,83.7,76.9,76.9,80.88,81.11,77.53,0,47.14,63.82,-12.21,-43.81,31.6,90.02,77.52,65.03,434.134,4403.358,2.09971,100
298,20200724,2432119,1855,190982048,76.8,80.4,76,79.3,80.72,80.94,77.16,36.26,43.51,57.05,-18.87,-38.82,19.96,88.98,77.16,65.34,1710.084,722.035,1.70754,74.67
299,20200731,1801910,1333,141181690,79.6,79.6,76.7,79.3,80.32,80.76,77.48,36.26,41.09,51.73,-23.86,-35.83,11.97,89.16,77.48,65.81,900.955,900.955,2.30775,100
300,20200807,4937150,3584,409763994,79.6,85.8,79.2,85.4,80.72,81.2,78.52,95.92,59.37,54.28,21.16,-24.43,45.59,89.12,78.51,67.91,4424.199,512.951,0.87548,11.96
301,20200814,2865955,2168,241738058,85.9,86.3,82.8,83.6,80.9,81.26,79.46,73.79,64.18,57.58,41.83,-11.18,53.01,88.2,79.45,70.71,661.374,2204.581,0.56395,0
302,20200821,3090640,2437,257223568,84,85,81.2,82.2,81.96,81.42,80.32,60.19,62.85,59.34,46.38,0.33,46.05,86.03,80.32,74.61,996.981,2093.659,0.81795,14.57
303,20200828,1529486,1065,126276835,82.2,83.2,81.8,82.1,82.52,81.62,80.72,59.22,61.64,60.11,48.62,9.99,38.63,85.69,80.72,75.76,736.419,793.067,0.82186,14.79
304,20200904,3434058,2575,288231263,82.5,85.8,81.8,83.3,83.32,81.82,81.12,70.87,64.72,61.65,59.39,19.87,39.52,85.53,81.12,76.72,1988.139,1445.919,1.49153,53.19
305,20200911,5804224,4475,497989313,83.7,88,82.8,85.7,83.38,82.05,81.58,80.83,70.09,64.46,86.3,33.15,53.14,85.89,81.58,77.28,3693.597,2110.627,0.86894,17.49
306,20200918,8495797,6137,757522217,86.8,91.9,86.8,88.2,84.3,82.6,82.08,76.73,72.3,67.07,126.34,51.79,74.55,87,82.07,77.15,5320.6,3175.197,0.64102,4.42
307,20200925,3544355,2539,299945348,88.2,88.2,81.8,82,84.26,83.11,82.11,34.87,59.82,64.65,106.81,62.8,44.02,87.02,82.11,77.2,107.405,3436.95,0.9153,20.15
308,20200930,733459,518,61518955,82.6,85,82.6,83.8,84.6,83.56,82.25,36.22,51.95,60.42,104.66,71.17,33.49,87.19,82.25,77.31,523.899,209.56,0.92606,20.77
309,20201008,1519879,1122,129024858,83.5,86.2,83.3,85.3,85,84.16,82.46,38.32,47.41,56.08,113.74,79.68,34.06,87.54,82.46,77.38,1131.073,388.806,1.01801,26.04
310,20201016,2188508,1801,185579809,85.8,85.8,83.7,84.4,84.74,84.06,82.63,29.91,41.58,51.25,112.38,86.22,26.16,87.73,82.63,77.53,464.229,1724.279,2.58671,100
311,20201023,2901932,2086,248962772,85.3,87.4,84.7,86,84.3,84.3,82.78,41.58,41.58,48.03,122.8,93.54,29.26,88.09,82.78,77.47,1865.528,1036.404,0.84298,13.79
312,20201030,1723292,1489,147275941,86,86.8,83.9,85.7,85.04,84.65,83.03,38.61,40.59,45.55,127.17,100.26,26.9,88.39,83.03,77.68,814.647,908.645,0.94917,19.04
313,20201106,3299849,2287,285829408,86,88.6,84.5,87.7,85.82,85.21,83.42,58.42,46.53,45.88,145.1,109.23,35.87,88.96,83.41,77.87,2135.196,1164.653,0.9156,14.11
314,20201113,2672396,1945,234880620,88.7,89,86.8,87.4,86.24,85.62,83.72,55.45,49.5,47.09,155.1,118.4,36.69,89.43,83.72,78.01,586.624,2085.772,0.96177,16.49
315,20201120,1989053,1682,172817930,87.5,88.2,86.2,86.8,86.72,85.73,83.89,69.44,56.15,50.11,156.38,126,30.38,89.75,83.89,78.03,760.52,1228.533,1.25381,31.49
316,20201127,1533119,1280,133108961,86.8,87.8,86,86.9,86.9,85.6,84.1,67.19,59.83,53.35,156.4,132.08,24.32,90.08,84.1,78.12,788.461,744.658,1.2231,29.92
317,20201204,2032740,1715,175264113,87.4,87.4,85.6,85.8,86.92,85.98,84.55,43.86,54.51,53.74,145.85,134.83,11.02,89.56,84.54,79.53,162.619,1870.121,2.57985,99.65
318,20201211,2587239,2155,222852583,86.3,87.4,84.6,85.4,86.46,86.14,84.85,32.08,47.03,51.5,132.74,134.42,-1.67,89.26,84.85,80.44,945.337,1641.902,2.06449,70.05
319,20201218,2118938,1675,180135673,85.4,85.9,84.4,84.7,85.92,86.08,85.12,15.69,36.58,46.53,115.37,130.61,-15.23,88.72,85.12,81.52,737.022,1381.916,2.14115,74.45
320,20201225,2099808,1571,177027610,84.7,85.7,83.5,85.3,85.62,86.17,85.11,32.73,35.3,42.79,105.23,125.53,-20.3,88.72,85.11,81.51,1215.678,884.13,1.88785,59.92
321,20201231,1365480,1152,118005395,85.6,87.2,85.4,86.8,85.6,86.25,85.28,60,43.53,43.04,108.06,122.04,-13.98,88.88,85.27,81.67,1062.04,303.44,1.06346,12.64
322,20210108,2073519,1720,179710205,86.8,87.5,86,86.6,85.76,86.34,85.5,56.36,47.81,44.63,107.44,119.12,-11.67,88.85,85.49,82.14,962.705,1110.814,0.92529,4.74
323,20210115,2609481,2136,225843751,87,87.6,85.6,86.3,85.94,86.2,85.71,59.57,51.73,47,103.35,115.96,-12.62,88.69,85.7,82.72,916.845,1692.636,0.96001,2.67
324,20210122,3521946,2937,296348551,86,86.9,82.5,83.2,85.64,85.78,85.7,13.21,38.89,44.3,74.23,107.62,-33.39,88.7,85.7,82.7,894.462,2627.484,1.49486,34.81
325,20210129,2363874,2043,194196900,83.7,83.7,80.9,81,84.78,85.2,85.47,1.49,26.42,38.34,33.02,92.7,-59.68,89.1,85.46,81.83,69.526,2294.348,2.71679,100
326,20210205,3386258,2705,271294582,81,81.6,79.1,80.8,83.58,84.59,85.09,20,24.28,33.65,-1.24,73.91,-75.15,89.03,85.09,81.16,1622.582,1763.676,2.39142,81.84
327,20210219,2143733,1572,176390863,82.2,84.3,80.9,84.1,83.08,84.42,85.2,58.82,35.79,34.36,-1.74,58.78,-60.52,88.91,85.2,81.49,1633.32,510.413,1.70524,43.54
328,20210226,2466117,2083,206873712,84.9,85,82.9,83.5,82.52,84.23,85.18,51.76,41.11,36.61,-6.9,45.64,-52.54,88.92,85.18,81.45,479.523,1986.594,1.72276,44.51
329,20210305,1020788,999,85128877,84,84,82.5,83.8,82.64,84.14,85.11,55.29,45.84,39.69,-8.47,34.82,-43.29,88.89,85.11,81.33,551.777,469.011,1.10321,9.93
330,20210312,2964407,2481,251353063,84.1,85.5,83.8,85.4,83.52,84.15,85.16,74.12,55.27,44.88,3.16,28.49,-25.33,88.93,85.16,81.39,2470.339,494.068,0.67383,0
331,20210319,6322103,5121,549539670,85.7,88.5,85.5,85.9,84.54,84.06,85.16,72.34,60.96,50.24,16.22,26.03,-9.81,88.92,85.15,81.39,3420.154,2901.949,0.84539,8.4
332,20210326,2412095,2108,206868569,85.9,86.3,85.3,85.8,84.88,83.98,85.16,71.28,64.4,54.96,25.47,25.92,-0.45,88.92,85.16,81.4,1142.571,1269.524,0.67695,0.15
333,20210401,4255109,3322,373428043,86.1,89.5,85.8,89.2,86.02,84.27,85.23,97.12,75.31,61.74,59.56,32.65,26.91,89.25,85.23,81.22,3700.095,555.014,0.4864,0
334,20210409,24905439,12862,2461027096,89.5,102.5,89.5,98.4,88.94,85.79,85.78,82.48,77.7,67.06,158.97,57.91,101.06,92.76,85.78,78.81,19036.916,5868.523,0.3881,0
335,20210416,8037994,6405,755589800,98.4,98.7,89.4,92.9,90.44,86.98,86.09,55.56,70.32,68.15,191.17,84.56,106.61,93.72,86.09,78.46,2331.632,5706.362,0.51121,5.29
336,20210423,4171993,3597,380100172,93.1,93.5,88.7,90.3,91.32,87.93,86.26,39,59.88,65.39,193.48,106.35,87.13,94.1,86.26,78.42,1191.998,2979.995,0.57538,8.04
337,20210429,2653382,2083,239824188,90.8,91.3,89.8,89.8,92.12,88.5,86.46,36.5,52.09,60.96,189.1,122.9,66.2,94.45,86.46,78.47,530.676,2122.706,0.72225,16.68
338,20210507,5183466,4089,451080309,89.8,90.5,85.3,86.1,91.5,88.76,86.49,12.3,38.83,53.58,153.99,129.12,24.88,94.47,86.49,78.52,1160.477,4022.989,2.84423,100
339,20210514,4861599,3893,397944783,85.5,85.5,77.2,80.8,87.98,88.46,86.3,14.23,30.63,45.93,82.46,119.78,-37.33,94.62,86.3,77.98,1400.141,3461.458,2.93866,100
340,20210521,2154140,1834,171753922,76.1,82.3,76.1,80.6,85.52,87.98,86.06,17.05,26.1,39.32,23.87,100.6,-76.73,94.75,86.06,77.38,1067.097,1087.043,2.57171,85.61
341,20210528,1734016,1374,143464375,78.3,84.1,78.3,83.6,84.18,87.75,85.9,28.41,26.87,35.17,1.63,80.81,-79.18,94.64,85.9,77.17,1633.201,100.815,1.64844,49.41
